"time","transformer.l2sigma.inductor[1].i","transformer.l2sigma.inductor[3].i"
0,0,0
5e-05,33.0630920729698,-67.0880098372249
0.0001,56.05867949468,-115.600003432838
0.00015,71.7638744880024,-150.658242675192
0.0002,82.1877695266902,-175.967996170569
0.00025,88.7838960106146,-194.209525201465
0.0003,92.6039181281351,-207.321648789562
0.00035,94.4088057898497,-216.706857778703
0.0004,94.749253171821,-223.379687163537
0.00045,94.0238503333392,-228.074042910084
0.0005,92.5211580548069,-231.320830267367
0.00055,90.4501610648693,-233.504140243012
0.0006,87.9622696094703,-234.901842795439
0.00065,85.1672521860982,-235.714983043996
0.0007,82.1447563606352,-236.089037504366
0.00075,78.9526435161807,-236.129292037382
0.0008,75.6330165592167,-235.911963310222
0.00085,72.2165805675002,-235.492244539044
0.0009,68.7257969724687,-234.910125305249
0.00095,65.1771651057296,-234.194601359757
0.001,61.5828725166376,-233.366719810403
0.00105,57.9519887212752,-232.441781940072
0.0011,54.2913282691008,-231.430935915262
0.00115,50.6060749043231,-230.342328713364
0.0012,46.9002381769115,-229.181948918222
0.00125,43.1769715814316,-227.95421403285
0.0013,39.4388139022324,-226.6624161062
0.00135,35.6878602233249,-225.3090375893
0.0014,31.9258836948775,-223.895976335264
0.00145,28.1544258690926,-222.424712607633
0.0015,24.3748611390972,-220.896428306447
0.00155,20.5884429378191,-219.312092539058
0.0016,16.7963376907864,-217.672524594425
0.00165,12.999649006275,-215.978438902701
0.0017,9.19943514894939,-214.230477600164
0.00175,5.39672164926769,-212.429234116833
0.0018,1.59251034195225,-210.575270172846
0.00185,-2.21221415280743,-208.669128053733
0.0019,-6.01647980795939,-206.711339451291
0.00195,-9.81932393406023,-204.702431781254
0.002,-13.619790912844,-202.642932672759
0.00205,-17.416930321705,-200.533373734505
0.0021,-21.2097961651597,-198.374292273099
0.00215,-24.9974459723372,-196.16623325686
0.0022,-28.7789404571962,-193.909750236682
0.00225,-32.5533431657962,-191.605406288496
0.0023,-36.3197203528653,-189.253774527842
0.00235,-40.0771409158039,-186.855438515575
0.0024,-43.8246764560124,-184.410992424566
0.00245,-47.5614013822984,-181.921041124616
0.0025,-51.2863930666013,-179.386200163436
0.00255,-54.9987319654549,-176.807095816842
0.0026,-58.6975017451098,-174.184365119524
0.00265,-62.3817894236176,-171.518655879088
0.0027,-66.0506857469181,-168.81062620973
0.00275,-69.7032854330043,-166.060944332874
0.0028,-73.3386870740872,-163.27028905178
0.00285,-76.9559936561863,-160.439348953165
0.0029,-80.5543125805527,-157.568822721043
0.00295,-84.1327560285913,-154.659418542467
0.003,-87.690441053103,-151.711854342764
0.00305,-91.226489840233,-148.726857391247
0.0031,-94.7400299115382,-145.70516420168
0.00315,-98.230194346038,-142.647520357722
0.0032,-101.696121994394,-139.5546801899
0.00325,-105.136957676513,-136.427406836212
0.0033,-108.551852404987,-133.266471920879
0.00335,-111.939963595208,-130.0726554127
0.0034,-115.30045524988,-126.846745311717
0.00345,-118.632498208986,-123.589537658637
0.0035,-121.935270352673,-120.301836312112
0.00355,-125.207956802175,-116.984452716309
0.0036,-128.449750002922,-113.638205056745
0.00365,-131.659850056296,-110.263918700708
0.0037,-134.837465020843,-106.862426480024
0.00375,-137.981810964735,-103.434567689842
0.0038,-141.092111994197,-99.9811880335099
0.00385,-144.167600473069,-96.5031394309034
0.0039,-147.207517797348,-93.0012801151436
0.00395,-150.21111402206,-89.4764741329268
0.004,-153.177648052518,-85.9295911551668
0.00405,-156.106387536744,-82.3615061452942
0.0041,-158.996610140497,-78.7730996117207
0.00415,-161.84760283408,-75.1652570202629
0.0042,-164.65866225235,-71.538868629163
0.00425,-167.429094306501,-67.8948288054674
0.0043,-170.158215737717,-64.2340369418199
0.00435,-172.845353259162,-60.5573963856495
0.0044,-175.489844009009,-56.8658144488752
0.00445,-178.091034912757,-53.1602014649033
0.0045,-180.648284492856,-49.4414720226967
0.00455,-183.160961889285,-45.7105437197689
0.0046,-185.628447307217,-41.9683371846894
0.00465,-188.050131433746,-38.2157755191287
0.0047,-190.425416887662,-34.4537846514648
0.00475,-192.753717798066,-30.6832928487286
0.0048,-195.034459865827,-26.905230445733
0.00485,-197.267079991303,-23.120529548309
0.0049,-199.451027207496,-19.3301239495536
0.00495,-201.585762932432,-15.5349489215578
0.005,-203.670760611781,-11.7359408956027
0.00505,-205.705505599527,-7.9340371843335
0.0051,-207.689495537826,-4.13017579757301
