"time","cDC1.v","cDC2.v","supplyL.inductor[2].i","supplyL.inductor[3].i"
0,116.954520185051,116.954520185051,-116.954520185051,116.954520185051
5e-06,116.954617557984,116.954617557984,-117.230454648437,117.230447988114
1e-05,116.954862577187,116.954862577187,-117.506357762675,117.506344438048
1.5e-05,116.9552332219,116.9552332219,-117.782212494872,117.782192505972
2e-05,116.955719930014,116.955719930014,-118.05800417206,118.057977518937
2.5e-05,116.956340035115,116.956340035115,-118.333708998793,118.333675681512
3e-05,116.957095927679,116.957095927679,-118.609301290581,118.609261309226
3.5e-05,116.95798813004,116.95798813004,-118.884762139565,118.884715494234
4e-05,116.959017040081,116.959017040081,-119.160073577112,119.160020267917
4.5e-05,116.96018242137,116.96018242137,-119.435210089476,119.435150116552
5e-05,116.961484256041,116.961484256041,-119.710153521586,119.710086885081
5.5e-05,116.962923029171,116.962923029171,-119.984876814728,119.984803514805
6e-05,116.964498752339,116.964498752339,-120.259358969051,120.259279005891
6.5e-05,116.966211042882,116.966211042882,-120.533577997918,120.533491371719
7e-05,116.968059476344,116.968059476344,-120.807511973211,120.807418684187
7.5e-05,116.970044044115,116.970044044115,-121.081138442037,121.081038490418
8e-05,116.972164203095,116.972164203095,-121.354436227456,121.354329613488
8.5e-05,116.974419796353,116.974419796353,-121.627383036309,121.627269760256
9e-05,116.976810552478,116.976810552478,-121.89995690634,121.89983696848
9.5e-05,116.97933620006,116.97933620006,-122.172135875292,122.172009275922
0.0001,116.981996481715,116.981996481715,-122.443898022163,122.443764761595
0.000105,116.984791202044,116.984791202044,-122.715221608221,122.715081686784
0.00011,116.987720059334,116.987720059334,-122.986084582109,122.985938000148
0.000115,116.990782793409,116.990782793409,-123.256465014602,123.256311772479
0.00012,116.993979144091,116.993979144091,-123.526340976479,123.526181074573
0.000125,116.997308667635,116.997308667635,-123.795690998186,123.79552443689
0.00013,117.00077040735,117.00077040735,-124.064494894641,124.064321674366
0.000135,117.004364441096,117.004364441096,-124.332729890137,124.332550011312
0.00014,117.008090421146,117.008090421146,-124.600374274687,124.600187737754
0.000145,117.011947999772,117.011947999772,-124.867406338303,124.867213143723
0.00015,117.015936829245,117.015936829245,-125.133804370997,125.133604519247
0.000155,117.020056561837,117.020056561837,-125.399546662783,125.399340154355
0.00016,117.02430684982,117.02430684982,-125.664611503672,125.664398339077
0.000165,117.028687345466,117.028687345466,-125.928977183677,125.92875736344
0.00017,117.033197701046,117.033197701046,-126.19262199281,126.192395517474
0.000175,117.037837215708,117.037837215708,-126.455524792017,126.455291662141
0.00018,117.042604952362,117.042604952362,-126.717664824199,126.717425040357
0.000185,117.047501115138,117.047501115138,-126.979019487117,126.978773049901
0.00019,117.052525315567,117.052525315567,-127.239567136653,127.239314046672
0.000195,117.057677165179,117.057677165179,-127.499286128691,127.499026386569
0.0002,117.062956275507,117.062956275507,-127.758154819113,127.75788842549
0.000205,117.06836225808,117.06836225808,-128.016151563801,128.015878519335
0.00021,117.073894724431,117.073894724431,-128.273254718637,128.272975024002
0.000215,117.07955328609,117.07955328609,-128.529442639504,128.52915629539
0.00022,117.085336384258,117.085336384258,-128.784696344696,128.78440335181
0.000225,117.091242534957,117.091242534957,-129.038996682297,129.038697041361
0.00023,117.097272623292,117.097272623292,-129.292319110903,129.292012822657
0.000235,117.103426167751,117.103426167751,-129.544642198066,129.544329263265
0.00024,117.109702686821,117.109702686821,-129.795944511333,129.79562493075
0.000245,117.116101698989,117.116101698989,-130.046204618256,130.045878392679
0.00025,117.122622722743,117.122622722743,-130.295401086385,130.295068216619
0.000255,117.12926527657,117.12926527657,-130.543512483268,130.543172970134
0.00026,117.136028878957,117.136028878957,-130.790517376455,130.790171220792
0.000265,117.142911600489,117.142911600489,-131.036398181528,131.036045384189
0.00027,117.149912277518,117.149912277518,-131.281135278914,131.28077584077
0.000275,117.157031523039,117.157031523039,-131.524704327338,131.524338249276
