"Time","harmonic.y_arg","potentialSensor.phi[3]","potentialSensor.phi[1]","filter[1].x[1]","harmonic.mean1.x","toPolar.y[1]","toPolar.y[2]","filter[2].x[1]","harmonic.mean2.x","filter[2].x[2]","integrator.y","harmonic.y_rms","potentialSensor.phi[2]","filter[1].x[2]"
0,0,-1.2247449,-1.2247449,1.6653345e-16,0,1.4142135,0,-1.110223e-16,0,0,0,0,-1.2247449,1.4142135
0.00033493649,0,-1.2247449,-1.2247449,1.6653269e-16,-0.00058012514,1.4095875,-2.5764352e-19,-1.1102345e-16,-1.2208587e-06,-3.6317109e-19,0.0042089359,0,-1.2247449,1.4095875
0.00033493649,0,-1.2247449,1.2247449,1.6653269e-16,-0.00058012514,1.4095875,-2.5764352e-19,-1.1102345e-16,-1.2208587e-06,-3.6317109e-19,0.0042089359,0,-1.2247449,1.4095875
0.00050000002,0,-1.2247449,1.2247449,0.0026346741,-0.00029423079,1.4073154,-7.6984277e-09,-1.3822114e-05,2.7897502e-07,-1.0834115e-08,0.0062831854,0,-1.2247449,1.4073154
0.001,0,-1.2247449,1.2247449,0.010589282,0.00057175098,1.4004809,-1.9104314e-07,-8.8842018e-05,8.4408985e-06,-2.6755228e-07,0.012566371,0,-1.2247449,1.4004809
0.0015,0,-1.2247449,1.2247449,0.018504426,0.0014376582,1.3937184,-7.558765e-07,-0.0002135106,2.2043672e-05,-1.053479e-06,0.018849555,0,-1.2247449,1.3937184
0.0020000001,0,-1.2247449,1.2247449,0.026379988,0.0023034574,1.3870273,-1.875442e-06,-0.00038758587,4.1086674e-05,-2.6012892e-06,0.025132742,0,-1.2247449,1.3870273
0.0024999999,0,-1.2247449,1.2247449,0.034215774,0.0031690949,1.3804069,-3.8260955e-06,-0.00061067764,6.5568624e-05,-5.2815685e-06,0.031415928,0,-1.2247449,1.3804069
0.003,0,-1.2247449,1.2247449,0.042011775,0.0040345672,1.3738569,-6.6359157e-06,-0.00088276062,9.5489318e-05,-9.1167985e-06,0.037699111,0,-1.2247449,1.3738569
0.0035000001,0,-1.2247449,1.2247449,0.049767811,0.0048998222,1.3673767,-1.0576151e-05,-0.0012034525,0.00013084686,-1.4461582e-05,0.043982297,0,-1.2247449,1.3673767
0.0040000002,0,-1.2247449,1.2247449,0.057483863,0.005764856,1.3609661,-1.5678075e-05,-0.0015727279,0.000171641,-2.1337328e-05,0.050265484,0,-1.2247449,1.3609661
0.0044999998,0,-1.2247449,1.2247449,0.065159731,0.0066296104,1.3546242,-2.2248987e-05,-0.0019901555,0.00021786922,-3.0139016e-05,0.056548666,0,-1.2247449,1.3546242
0.0046650637,0,-1.2247449,1.2247449,0.067684934,0.0069150329,1.3525457,-2.4719047e-05,-0.0021385688,0.00023432371,-3.3433644e-05,0.058622915,0,-1.2247449,1.3525457
0.0046650637,0,1.2247449,1.2247449,0.067684934,0.0069150329,1.3525457,-2.4719047e-05,-0.0021385688,0.00023432371,-3.3433644e-05,0.058622915,0,1.2247449,1.3525457
0.0049999999,0,1.2247449,1.2247449,0.067463532,0.0074940897,1.3483424,-2.9894774e-05,-0.0021315732,0.00026953159,-4.0308394e-05,0.062831856,0,1.2247449,1.3483424
0.0053349365,0,1.2247449,1.2247449,0.067242846,0.0080729928,1.3441521,-3.5068813e-05,-0.0021246006,0.00030717635,-4.7137823e-05,0.067040786,0,1.2247449,1.3441521
0.0053349365,0,-1.2247449,1.2247449,0.067242846,0.0080729928,1.3441521,-3.5068813e-05,-0.0021246006,0.00030717635,-4.7137823e-05,0.067040786,0,-1.2247449,1.3441521
0.0055,0,-1.2247449,1.2247449,0.06976296,0.008358229,1.3420939,-3.7725498e-05,-0.0023004001,0.00032662469,-5.0631166e-05,0.069115035,0,-1.2247449,1.3420939
0.0060000001,0,-1.2247449,1.2247449,0.077369593,0.0092219897,1.3359045,-4.7150654e-05,-0.0028643976,0.00038914595,-6.2988765e-05,0.075398222,0,-1.2247449,1.3359045
0.0065000001,0,-1.2247449,1.2247449,0.084935322,0.010085333,1.329782,-5.8803853e-05,-0.0034755133,0.00045709262,-7.819631e-05,0.081681408,0,-1.2247449,1.329782
0.0070000002,0,-1.2247449,1.2247449,0.092460036,0.010948231,1.3237263,-7.2853611e-05,-0.0041335281,0.0005304623,-9.6438234e-05,0.087964594,0,-1.2247449,1.3237263
0.0074999998,0,-1.2247449,1.2247449,0.099943534,0.011810619,1.3177361,-8.9633599e-05,-0.0048379605,0.00060924934,-0.00011811343,0.094247781,0,-1.2247449,1.3177361
0.0080000004,0,-1.2247449,1.2247449,0.10738581,0.012672497,1.3118117,-0.00010917499,-0.0055888155,0.00069345377,-0.00014321704,0.10053097,0,-1.2247449,1.3118117
0.0085000005,0,-1.2247449,1.2247449,0.11478672,0.013533819,1.3059523,-0.00013173252,-0.0063857366,0.00078307075,-0.00017203639,0.10681415,0,-1.2247449,1.3059523
0.0089999996,0,-1.2247449,1.2247449,0.12214624,0.014394578,1.3001577,-0.00015737388,-0.0072286753,0.00087809964,-0.00020461087,0.11309733,0,-1.2247449,1.3001577
0.0094999997,0,-1.2247449,1.2247449,0.12946424,0.015254736,1.2944274,-0.0001863103,-0.0081173489,0.00097853644,-0.00024116515,0.11938052,0,-1.2247449,1.2944274
0.0096650636,0,-1.2247449,1.2247449,0.131871,0.015538564,1.2925497,-0.00019660201,-0.0084207505,0.0010128805,-0.00025411788,0.12145477,0,-1.2247449,1.2925497
0.0096650636,0,-1.2247449,-1.2247449,0.131871,0.015538564,1.2925497,-0.00019660201,-0.0084207505,0.0010128805,-0.00025411788,0.12145477,0,-1.2247449,1.2925497
0.0099999998,0,-1.2247449,-1.2247449,0.13143963,0.014962859,1.2887523,-0.00021787507,-0.0083932057,0.00094138278,-0.000280787,0.12566371,0,-1.2247449,1.2887523
0.0099999998,0,-1.2247449,-1.2247449,0.13143963,0.014962859,1.2887523,-0.00021787507,-0.0083932057,0.00094138278,-0.000280787,0.12566371,0,-1.2247449,1.2887523
0.010195342,0,-1.2247449,-1.2247449,0.13118869,0.014627238,1.2865427,-0.0002302754,-0.0083771814,0.00089856528,-0.00029625912,0.12811844,0,-1.2247449,1.2865427
