"time","advancedSolenoid.armature.stopper_xMax.v_rel","advancedSolenoid.c_par1.v","advancedSolenoid.c_par2.v","advancedSolenoid.coil1.Phi","advancedSolenoid.coil2.Phi","advancedSolenoid.x","simpleSolenoid.armature.stopper_xMax.v_rel","simpleSolenoid.coil.Phi","simpleSolenoid.x"
0,-0,0,0,0,0,0.005,-0,-0,0.005
2.61165e-07,5.18867645627631e-14,0.0123193958502954,0.0189795154588262,-2.57792514968783e-09,-3.97141347445838e-09,0.005,7.94500651332919e-14,-3.27464842828937e-09,0.005
2.61165e-07,5.18867645627631e-14,0.0123193958502954,0.0189795154588262,-2.57792514968783e-09,-3.97141347445838e-09,0.005,7.94500651332919e-14,-3.27464842828937e-09,0.005
1e-05,2.42049342372743e-09,0.420838184731817,0.721112734749927,-9.225334377074e-08,-1.58184642890807e-07,0.00499999999999393,4.44888111814112e-09,-1.25175385130377e-07,0.00499999999998886
2e-05,1.92707623409245e-08,0.801308963826183,1.37392195543,-1.84084165421649e-07,-3.16103384935495e-07,0.00499999999990347,3.54991078193592e-08,-2.49918837819529e-07,0.00499999999982231
3e-05,6.48455753955046e-08,1.14599239792338,1.96418891968653,-2.75663932758686e-07,-4.7358664835605e-07,0.00499999999951275,1.19499821593903e-07,-3.74231848730389e-07,0.00499999999910234
4e-05,1.53322318116887e-07,1.45829240873365,2.49786700459512,-3.66993200759843e-07,-6.30635759223701e-07,0.00499999999846354,2.82527099491807e-07,-4.98115903378432e-07,0.00499999999716886
5e-05,2.98761657911671e-07,1.74128903703505,2.98034297224969,-4.58072535808334e-07,-7.87252027690733e-07,0.00499999999625642,5.50386137672428e-07,-6.21572482149462e-07,0.00499999999310233
6e-05,5.15108219595381e-07,1.9977692917469,3.41649095277307,-5.48902514432136e-07,-9.43436749199813e-07,0.00499999999225194,9.48613428101376e-07,-7.44603060317567e-07,0.00499999998572654
7e-05,8.16191269217925e-07,2.23025500893044,3.8107211936145,-6.39483722166462e-07,-1.09919120557694e-06,0.00499999998567179,1.50247892691346e-06,-8.67209108063245e-07,0.00499999997361124
8e-05,1.21572539890678e-06,2.44102806804833,4.16702418323995,-7.29816752524947e-07,-1.25451666602117e-06,0.00499999997559993,2.23698820067229e-06,-9.89392090491424e-07,0.00499999995507479
9e-05,1.72731121652263e-06,2.63215324564465,4.48901063968267,-8.19902206068084e-07,-1.40941438800225e-06,0.00499999996098376,3.17688456185137e-06,-1.11115346764957e-06,0.00499999992818682
0.0001,2.3644360360391e-06,2.80549886451261,4.77994764071834,-9.09740689562307e-07,-1.56388561807221e-06,0.00499999994063523,4.34665118541563e-06,-1.23249469454574e-06,0.00499999989077084
0.0001,2.3644360360391e-06,2.80549886451261,4.77994764071834,-9.09740689562307e-07,-1.56388561807221e-06,0.00499999994063523,4.34665118541563e-06,-1.23249469454574e-06,0.00499999989077084
0.00011,3.14047497516474e-06,2.96275549261245,5.04279134074371,-9.99332815241024e-07,-1.71793159263825e-06,0.0049999999132319,5.77051393005587e-06,-1.35341722121252e-06,0.00499999984040663
0.00012,4.06869000673002e-06,3.10545282094374,5.28021650077547,-1.08867920003091e-06,-1.87155353847628e-06,0.00499999987731838,7.47244051278527e-06,-1.47392249253964e-06,0.0049999997744335
0.00013,5.1622331547057e-06,3.23497502088433,5.49464335705701,-1.17778046506248e-06,-2.02475267356618e-06,0.00499999983130699,9.47614702500128e-06,-1.59401194857463e-06,0.00499999968995187
0.00014,6.43414546251302e-06,3.35257455541254,5.68826178428697,-1.26663723501846e-06,-2.17753020747887e-06,0.00499999977347915,1.18050969222396e-05,-1.7136870243468e-06,0.00499999958382641
0.00015,7.8973581829158e-06,3.45938472560446,5.8630532454101,-1.35525013765281e-06,-2.32988734191802e-06,0.00499999970198641,1.44825039490063e-05,-1.83294914994177e-06,0.00499999945268839
