"time","booleanTable.y","onDelay1.delaySignal","onDelay1.t_next","onDelay1.u","onDelay2.delaySignal","onDelay2.t_next","onDelay2.u","onDelay3.delaySignal","onDelay3.t_next","onDelay3.u"
0,0,0,-1,0,0,-1,0,1,-1,1
0.0022,0,0,-1,0,0,-1,0,1,-1,1
0.0044,0,0,-1,0,0,-1,0,1,-1,1
0.0066,0,0,-1,0,0,-1,0,1,-1,1
0.0088,0,0,-1,0,0,-1,0,1,-1,1
0.011,0,0,-1,0,0,-1,0,1,-1,1
0.0132,0,0,-1,0,0,-1,0,1,-1,1
0.0154,0,0,-1,0,0,-1,0,1,-1,1
0.0176,0,0,-1,0,0,-1,0,1,-1,1
0.0198,0,0,-1,0,0,-1,0,1,-1,1
0.022,0,0,-1,0,0,-1,0,1,-1,1
0.0242,0,0,-1,0,0,-1,0,1,-1,1
0.0264,0,0,-1,0,0,-1,0,1,-1,1
0.0286,0,0,-1,0,0,-1,0,1,-1,1
0.0308,0,0,-1,0,0,-1,0,1,-1,1
0.033,0,0,-1,0,0,-1,0,1,-1,1
0.0352,0,0,-1,0,0,-1,0,1,-1,1
0.0374,0,0,-1,0,0,-1,0,1,-1,1
0.0396,0,0,-1,0,0,-1,0,1,-1,1
0.0418,0,0,-1,0,0,-1,0,1,-1,1
0.044,0,0,-1,0,0,-1,0,1,-1,1
0.0462,0,0,-1,0,0,-1,0,1,-1,1
0.0484,0,0,-1,0,0,-1,0,1,-1,1
0.0506,0,0,-1,0,0,-1,0,1,-1,1
0.0528,0,0,-1,0,0,-1,0,1,-1,1
0.055,0,0,-1,0,0,-1,0,1,-1,1
0.0572,0,0,-1,0,0,-1,0,1,-1,1
0.0594,0,0,-1,0,0,-1,0,1,-1,1
0.0616,0,0,-1,0,0,-1,0,1,-1,1
0.0638,0,0,-1,0,0,-1,0,1,-1,1
0.066,0,0,-1,0,0,-1,0,1,-1,1
0.0682,0,0,-1,0,0,-1,0,1,-1,1
0.0704,0,0,-1,0,0,-1,0,1,-1,1
0.0726,0,0,-1,0,0,-1,0,1,-1,1
0.0748,0,0,-1,0,0,-1,0,1,-1,1
0.077,0,0,-1,0,0,-1,0,1,-1,1
0.0792,0,0,-1,0,0,-1,0,1,-1,1
0.0814,0,0,-1,0,0,-1,0,1,-1,1
0.0836,0,0,-1,0,0,-1,0,1,-1,1
0.0858,0,0,-1,0,0,-1,0,1,-1,1
0.088,0,0,-1,0,0,-1,0,1,-1,1
0.0902,0,0,-1,0,0,-1,0,1,-1,1
0.0924,0,0,-1,0,0,-1,0,1,-1,1
0.0946,0,0,-1,0,0,-1,0,1,-1,1
0.0968,0,0,-1,0,0,-1,0,1,-1,1
0.099,0,0,-1,0,0,-1,0,1,-1,1
0.1012,0,0,-1,0,0,-1,0,1,-1,1
0.1034,0,0,-1,0,0,-1,0,1,-1,1
0.1056,0,0,-1,0,0,-1,0,1,-1,1
0.1078,0,0,-1,0,0,-1,0,1,-1,1
0.11,0,0,-1,0,0,-1,0,1,-1,1
0.1122,0,0,-1,0,0,-1,0,1,-1,1
0.1144,0,0,-1,0,0,-1,0,1,-1,1
0.1166,0,0,-1,0,0,-1,0,1,-1,1
0.1188,0,0,-1,0,0,-1,0,1,-1,1
0.121,0,0,-1,0,0,-1,0,1,-1,1
0.1232,0,0,-1,0,0,-1,0,1,-1,1
0.1254,0,0,-1,0,0,-1,0,1,-1,1
0.1276,0,0,-1,0,0,-1,0,1,-1,1
0.1298,0,0,-1,0,0,-1,0,1,-1,1
0.132,0,0,-1,0,0,-1,0,1,-1,1
0.1342,0,0,-1,0,0,-1,0,1,-1,1
