"time","cp[1]","cp[2]","cp[3]","eta[1]","eta[2]","eta[3]","lambda[1]","lambda[2]","lambda[3]","rho[1]","rho[2]","rho[3]","Nu[1]","Nu[2]","Nu[3]","m_flow_1[1]","m_flow_1[2]","m_flow_1[3]","m_flow_2[1]","m_flow_2[2]","m_flow_2[3]","m_flow_3[1]","m_flow_3[2]","m_flow_3[3]","m_flow_4[1]","m_flow_4[2]","m_flow_4[3]","kc_OUT_1[1]","kc_OUT_1[2]","kc_OUT_1[3]","kc_OUT_2[1]","kc_OUT_2[2]","kc_OUT_2[3]","kc_OUT_3[1]","kc_OUT_3[2]","kc_OUT_3[3]","kc_OUT_4[1]","kc_OUT_4[2]","kc_OUT_4[3]","Re_1[1]","Re_1[2]","Re_1[3]","Re_2[1]","Re_2[2]","Re_2[3]","Re_3[1]","Re_3[2]","Re_3[3]","Re_4[1]","Re_4[2]","Re_4[3]","input_Nu.y"
0,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,11,11,11,0.00248614288582308,0.013923398264108,0.0111429833648945,0.00184429701654981,0.0103288037164557,0.00826620669814618,0.00154443609233321,0.011328299913643,0.010912272643722,0.00119963302760361,0.00860943600275808,0.00811816575745084,2.8259,65.835,42.57,2.8259,65.835,42.57,2.8259,65.835,42.57,2.8259,65.835,42.57,1735.44705926093,176.995020636574,1.24453395320261,1287.40783646289,131.300332883375,0.92323344324863,1078.09051922966,144.005984671227,1.21876640815075,837.401430874607,109.44363395146,0.906699094131692,11
0.000202,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,13.01798,13.01798,13.01798,0.00427516243841941,0.0239426259903649,0.0191614344473842,0.00363331656914614,0.0203480314427125,0.0162846577806358,0.00242377116600513,0.0185186244791402,0.0186461138954392,0.00211943661324371,0.0159943502958342,0.0158796562993071,3.344319062,77.9126103,50.3795826,3.344319062,77.9126103,50.3795826,3.344319062,77.9126103,50.3795826,3.344319062,77.9126103,50.3795826,2984.26857278618,304.360006147528,2.14009614668948,2536.22934998813,258.66531839433,1.8187956367355,1691.90860523388,235.409794338478,2.08254119011482,1479.46848056001,203.321079163365,1.77356196114743,13.01798
0.000404,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,15.03596,15.03596,15.03596,0.0067144192305996,0.0376034433068689,0.030094272625336,0.00607257336132633,0.0340088487592166,0.0272174959585877,0.00350074607218888,0.0276875253333005,0.0290900903104612,0.00322759394607822,0.0253313545243675,0.0263517145030896,3.862738124,89.9902206,58.1891652,3.862738124,89.9902206,58.1891652,3.862738124,89.9902206,58.1891652,3.862738124,89.9902206,58.1891652,4686.98688833863,478.017083032272,3.36115947163322,4238.94766554058,432.322395279073,3.03985896167923,2443.68878025613,351.96537689911,3.24900467922776,2253.01548601677,322.013601259292,2.94316184007936,15.03596
0.000606,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,17.05394,17.05394,17.05394,0.00990470967968306,0.0554703506170106,0.0443932711286138,0.0092628638104098,0.0518757560693583,0.0415164944618654,0.00477894421067048,0.0389349168639943,0.0426129152081801,0.0045309165936297,0.0367268292432266,0.0399032248360412,4.381157186,102.0678309,65.9987478,4.381157186,102.0678309,65.9987478,4.381157186,102.0678309,65.9987478,4.381157186,102.0678309,65.9987478,6913.96274303378,705.142212119633,4.95818143167551,6465.92352023573,659.447524366435,4.63688092172153,3335.93242933598,494.942849662675,4.75933761048257,3162.79724830377,466.873515826795,4.45669858102684,17.05394
0.000808,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,19.07192,19.07192,19.07192,0.0139468302029892,0.07810784832418,0.0625102031870812,0.0133049843337159,0.0745132537765277,0.0596334265203328,0.00626077851693134,0.0523372990992518,0.0595677361455398,0.00603354953630963,0.0502609579582162,0.0568873153039824,4.899576248,114.1454412,73.8083304,4.899576248,114.1454412,73.8083304,4.899576248,114.1454412,73.8083304,4.899576248,114.1454412,73.8083304,9735.55687398715,992.91135423844,6.98161953045805,9287.5176511891,947.216666485241,6.66031902050407,4370.32389725074,665.314685281543,6.65298221498697,4211.70716269075,638.920120094572,6.35361223147792,19.07192
0.00101,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,21.0899,21.0899,21.0899,0.0189415772178373,0.106080436831768,0.084896842030602,0.0182997313485641,0.102485842284115,0.0820200653638536,0.00794792963905578,0.0679538553948679,0.0802921108899499,0.00773824929548253,0.0659954879511711,0.077641462791802,5.41799531,126.2230515,81.617913,5.41799531,126.2230515,81.617913,5.41799531,126.2230515,81.617913,5.41799531,126.2230515,81.617913,13222.1300183142,1348.50047021752,9.48193127162252,12774.0907955162,1302.80578246432,9.16063076166853,5548.03635702768,863.83322589817,8.96763953643377,5401.6694133922,838.938348976877,8.67159480154439,21.0899
0.001212,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,23.10788,23.10788,23.10788,0.0249897471415469,0.139952616543164,0.11200496088904,0.0243479012722737,0.136358021995511,0.109128184222291,0.00984160169033515,0.0858308582798192,0.105108132148576,0.00964694594699722,0.0839786649368325,0.102487660484842,5.936414372,138.3006618,89.4274956,5.936414372,138.3006618,89.4274956,5.936414372,138.3006618,89.4274956,5.936414372,138.3006618,89.4274956,17444.0429131305,1779.08552088571,12.5095741588106,16996.0036903325,1733.39083313251,12.1882736488566,6869.9103375368,1091.08669049945,11.7392833618259,6734.03128598655,1067.54150470886,11.4466089628678,23.10788
0.001414,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,25.12586,25.12586,25.12586,0.0321921363914374,0.180288887861759,0.144286332992258,0.0315502905221641,0.176694293314106,0.14140955632551,0.0119426784888831,0.106004865409994,0.134322671890105,0.0117610395579919,0.104248641805944,0.131732678703643,6.454833434,150.3782721,97.2370782,6.454833434,150.3782721,97.2370782,6.454833434,150.3782721,97.2370782,6.454833434,150.3782721,97.2370782,22471.6562955515,2291.84246707183,16.1150056956639,22023.6170727534,2246.14777931863,15.7937051857099,8336.56278624121,1347.53980206003,15.0021875092077,8209.77009453392,1325.21458898022,14.7129171806465,25.12586
0.001616,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,27.14384,27.14384,27.14384,0.0406495413848278,0.227653751190942,0.182192731570121,0.0400076955155545,0.22405915664329,0.179315954903372,0.0142518225382083,0.128505052428457,0.168227719919087,0.0140815733565388,0.126835916436443,0.165668410320117,6.973252496,162.4558824,105.0466608,6.973252496,162.4558824,105.0466608,6.973252496,162.4558824,105.0466608,6.973252496,162.4558824,105.0466608,28375.3309026926,2893.94726960471,20.3486833858242,27927.2916798945,2848.25258185151,20.0273828758703,9948.45616238743,1633.56344299298,18.7889636422468,9829.6140622995,1612.345292528,18.503120292367,27.14384
0.001818,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,29.16182,29.16182,29.16182,0.0504627585390381,0.282611706934106,0.226175929852492,0.0498209126697648,0.279017112386453,0.223299153185743,0.0167695396924673,0.153354929363216,0.207100795138883,0.0166093416841667,0.151765109906423,0.204572284817052,7.491671558,174.5334927,112.8562434,7.491671558,174.5334927,112.8562434,7.491671558,174.5334927,112.8562434,7.491671558,174.5334927,112.8562434,35225.4274716696,3592.57588931318,25.2610647329332,34777.3882488715,3546.88120155998,24.9397642229792,11705.9435764557,1949.45647409459,23.1306072032388,11594.1176777956,1929.24659987956,22.8482037531487,29.16182
0.00202,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,31.1798,31.1798,31.1798,0.0617325842713873,0.345727255494639,0.276687701069234,0.061090738402114,0.342132660946986,0.273810924402486,0.0194962225490722,0.180573614747118,0.25120541130013,0.0193449604360487,0.179056282290053,0.248707735000839,8.01009062,186.611103,120.665826,8.01009062,186.611103,120.665826,8.01009062,186.611103,120.665826,8.01009062,186.611103,120.665826,43092.3067395977,4394.90428702607,30.9026072406325,42644.2675167997,4349.20959927287,30.5813067306785,13609.2990802829,2295.46193122807,28.0565494314725,13503.7108654136,2276.17351582426,27.7775897618054,31.1798
0.002222,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,33.19778,33.19778,33.19778,0.0745598149991949,0.417564897275932,0.334179818450212,0.0739179691299217,0.41397030272828,0.331303041783464,0.022432180262818,0.210176790317272,0.300791581960356,0.0222889146409567,0.208725918050268,0.298324702055821,8.528509682,198.6887133,128.4754086,8.528509682,198.6887133,128.4754086,8.528509682,198.6887133,128.4754086,8.528509682,198.6887133,128.4754086,52046.3294435926,5308.10842357221,37.3237684125638,51598.2902207946,5262.41373581901,37.0024679026099,15658.7384787541,2671.77916151618,33.5947137609977,15558.7321985157,2653.33559178067,33.3191936691936,33.19778
0.002424,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,35.21576,35.21576,35.21576,0.0890452471397803,0.498689132681376,0.399104055225289,0.0884034012705071,0.495094538133723,0.396227278558541,0.0255776594664148,0.242177423185147,0.356096351918931,0.0254415915011285,0.240787672018343,0.353660166655463,9.046928744,210.7663236,136.2849912,9.046928744,210.7663236,136.2849912,9.046928744,210.7663236,136.2849912,9.046928744,210.7663236,136.2849912,62157.8563207697,6339.36425978043,44.5750057523688,61709.8170979717,6293.66957202723,44.2537052424148,17854.4339333383,3078.57300360814,39.7715751753607,17759.451962848,3060.90640873077,39.4994832967863,35.21576
0.002626,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,37.23374,37.23374,37.23374,0.105289677110463,0.58966446211436,0.471912184624329,0.10464783124119,0.586069867566708,0.469035407957581,0.0289328592303658,0.276586317260751,0.417344344586198,0.0288033038691891,0.275252939832713,0.414938695812347,9.565347806,222.8439339,144.0945738,9.565347806,222.8439339,144.0945738,9.565347806,222.8439339,144.0945738,9.565347806,222.8439339,144.0945738,73497.2481082445,7495.84775647955,52.7067767636892,73049.2088854465,7450.15306872636,52.3854762537352,20196.5244048013,3515.98079741467,46.6122213419934,20106.0885445586,3499.03082867031,46.3435400130802,37.23374
