"time","Source.ports[1].m_flow","Source.ports[1].p","Source.ports[1].h_outflow","Sink.ports[1].m_flow","Sink.ports[1].p","Sink.ports[1].h_outflow","pump.port_b.m_flow","pump.port_b.p","pump.port_b.h_outflow","valveOpening.y","Valve.port_b.m_flow","Valve.port_b.p","Valve.port_b.h_outflow","Valve.minLimiter.y","downstreamPressure.y"
0,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
0.002,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
0.004,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
0.006,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
0.008,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
0.01,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
0.012,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
0.014,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
0.016,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
0.018,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
0.02,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
0.022,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
0.024,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
0.026,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
0.028,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
0.03,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
0.032,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
0.034,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
0.036,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
0.038,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
0.04,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
0.042,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
0.044,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
0.046,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
0.048,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
0.05,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
0.052,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
0.054,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
0.056,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
0.058,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
0.06,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
0.062,-1.42604887457403,100000,84011.8111671368,1.42604887457403,100000,84011.8111671368,-1.42604887457403,179915.955652369,84111.882632732,1,-1.42604887457403,100000,84111.882632732,1,100000
