"time","medium.T","medium.p","medium2.T","medium2.X[1]","medium2.X[2]","medium2.p"
0,200,100000,300,0.2,0.8,200000
0.0002,200.2,100000.2,300,0.2,0.8,200000.2
0.0004,200.4,100000.4,300,0.2,0.8,200000.4
0.0006,200.6,100000.6,300,0.2,0.8,200000.6
0.0008,200.8,100000.8,300,0.2,0.8,200000.8
0.001,201,100001,300,0.2,0.8,200001
0.0012,201.2,100001.2,300,0.2,0.8,200001.2
0.0014,201.4,100001.4,300,0.2,0.8,200001.4
0.0016,201.6,100001.6,300,0.2,0.8,200001.6
0.0018,201.8,100001.8,300,0.2,0.8,200001.8
0.002,202,100002,300,0.2,0.8,200002
0.0022,202.2,100002.2,300,0.2,0.8,200002.2
0.0024,202.4,100002.4,300,0.2,0.8,200002.4
0.0026,202.6,100002.6,300,0.2,0.8,200002.6
0.0028,202.8,100002.8,300,0.2,0.8,200002.8
0.003,203,100003,300,0.2,0.8,200003
0.0032,203.2,100003.2,300,0.2,0.8,200003.2
0.0034,203.4,100003.4,300,0.2,0.8,200003.4
0.0036,203.6,100003.6,300,0.2,0.8,200003.6
0.0038,203.8,100003.8,300,0.2,0.8,200003.8
0.004,204,100004,300,0.2,0.8,200004
0.0042,204.2,100004.2,300,0.2,0.8,200004.2
0.0044,204.4,100004.4,300,0.2,0.8,200004.4
0.0046,204.6,100004.6,300,0.2,0.8,200004.6
0.0048,204.8,100004.8,300,0.2,0.8,200004.8
0.005,205,100005,300,0.2,0.8,200005
0.0052,205.2,100005.2,300,0.2,0.8,200005.2
0.0054,205.4,100005.4,300,0.2,0.8,200005.4
0.0056,205.6,100005.6,300,0.2,0.8,200005.6
0.0058,205.8,100005.8,300,0.2,0.8,200005.8
0.006,206,100006,300,0.2,0.8,200006
0.0062,206.2,100006.2,300,0.2,0.8,200006.2
0.0064,206.4,100006.4,300,0.2,0.8,200006.4
0.0066,206.6,100006.6,300,0.2,0.8,200006.6
0.0068,206.8,100006.8,300,0.2,0.8,200006.8
0.007,207,100007,300,0.2,0.8,200007
0.0072,207.2,100007.2,300,0.2,0.8,200007.2
0.0074,207.4,100007.4,300,0.2,0.8,200007.4
0.0076,207.6,100007.6,300,0.2,0.8,200007.6
0.0078,207.8,100007.8,300,0.2,0.8,200007.8
0.008,208,100008,300,0.2,0.8,200008
0.0082,208.2,100008.2,300,0.2,0.8,200008.2
0.0084,208.4,100008.4,300,0.2,0.8,200008.4
0.0086,208.6,100008.6,300,0.2,0.8,200008.6
0.0088,208.8,100008.8,300,0.2,0.8,200008.8
0.009,209,100009,300,0.2,0.8,200009
0.0092,209.2,100009.2,300,0.2,0.8,200009.2
0.0094,209.4,100009.4,300,0.2,0.8,200009.4
0.0096,209.6,100009.6,300,0.2,0.8,200009.6
0.0098,209.8,100009.8,300,0.2,0.8,200009.8
0.01,210,100010,300,0.2,0.8,200010
0.0102,210.2,100010.2,300,0.2,0.8,200010.2
0.0104,210.4,100010.4,300,0.2,0.8,200010.4
0.0106,210.6,100010.6,300,0.2,0.8,200010.6
0.0108,210.8,100010.8,300,0.2,0.8,200010.8
0.011,211,100011,300,0.2,0.8,200011
0.0112,211.2,100011.2,300,0.2,0.8,200011.2
0.0114,211.4,100011.4,300,0.2,0.8,200011.4
0.0116,211.6,100011.6,300,0.2,0.8,200011.6
