"time","j2.s","j2.v"
0,0,-0.4
0.0004,-0.000163202678931512,-0.416011001859915
0.0008,-0.000332802989720112,-0.431997739247722
0.0012,-0.000508792193042793,-0.447959519440268
0.0016,-0.000691160680890211,-0.463895600645368
0.002,-0.000879898150868485,-0.479805209298843
0.0024,-0.00107499483622869,-0.49568764217527
0.0028,-0.00127644038149758,-0.511542156591026
0.0032,-0.00148422232399058,-0.527367902279756
0.0036,-0.00169832932155927,-0.543164087850498
0.004,-0.00191874898262461,-0.558929920588973
0.0044,-0.00214546938586627,-0.574664601369424
0.0048,-0.00237847628994143,-0.590367382349553
0.0052,-0.00261775658361926,-0.606037489479634
0.0056,-0.00286329734950411,-0.621674144473948
0.006,-0.00311508548148821,-0.637276573170813
0.0064,-0.00337310610485231,-0.652844009316553
0.0068,-0.0036373459916212,-0.668375679294392
0.0072,-0.00390779191663,-0.683870809474988
0.0076,-0.00418443038668618,-0.699328627427434
0.008,-0.00446724059381066,-0.714748437774962
0.0084,-0.00475620837628612,-0.730129475128919
0.0088,-0.0050513204501589,-0.745470964854272
0.0092,-0.00535256198592897,-0.760772148596808
0.0096,-0.00565991815409629,-0.776032268002316
0.01,-0.00597336601005676,-0.791250601677463
0.0104,-0.00629289018804789,-0.806426393710485
0.0108,-0.00661847691810026,-0.821558880921456
0.0112,-0.00695011019158829,-0.836647310326585
0.0116,-0.00728777399988641,-0.851690928942078
0.012,-0.00763144183716179,-0.866689079181554
0.0124,-0.00798109616365896,-0.881641021975952
0.0128,-0.00833672303298622,-0.896545985600137
0.0132,-0.0086983049554724,-0.911403230529888
0.0136,-0.00906582444144632,-0.926212017240986
0.014,-0.00943925397714224,-0.940971707549249
0.0144,-0.00981857342207397,-0.955681588729257
0.0148,-0.0102037678130953,-0.970340895714518
0.0152,-0.0105948181434242,-0.984948904318264
0.0156,-0.010991705406279,-0.999504890353725
0.016,-0.0113944016373474,-1.01400823364455
0.0164,-0.0118028842616193,-1.02845825143649
0.0168,-0.01221713709102,-1.04285418681333
0.0172,-0.012637139658944,-1.05719533253905
0.0176,-0.0130628714987858,-1.07148098137764
0.018,-0.0134943063340673,-1.08571050872094
0.0184,-0.0139314191833094,-1.09988327154336
0.0188,-0.0143741903843772,-1.11399855116772
0.0192,-0.0148225969566613,-1.12805567611211
0.0196,-0.0152766156584808,-1.14205397860755
0.02,-0.0157362229870835,-1.15599279459805
0.0204,-0.0162013951786453,-1.16987146374054
0.0208,-0.0166721082082711,-1.18368932940492
0.0212,-0.0171483377899938,-1.19744573867403
0.0216,-0.0176300593767752,-1.21114004234367
0.022,-0.0181172465404513,-1.22477162186942
0.0224,-0.0186098730580335,-1.23833985466459
0.0228,-0.0191079146707546,-1.25184408484152
0.0232,-0.0196113454769671,-1.26528368320949
0.0236,-0.0201201392906718,-1.27865802467801
0.024,-0.0206342696415173,-1.29196648825672
0.0244,-0.0211537097748004,-1.30520845705549
0.0248,-0.0216784326514659,-1.31838331828435
0.0252,-0.0222084109481069,-1.33149046325351
0.0256,-0.0227436170569644,-1.34452928737337
0.026,-0.0232840260240371,-1.35749921394238
0.0264,-0.0238296129051782,-1.37039967274118
0.0268,-0.0243803462100076,-1.38323004695238
0.0272,-0.0249361976834765,-1.39598975235526
0.0276,-0.025497138817263,-1.40867820908089
0.028,-0.0260631408497726,-1.42129484161217
0.0284,-0.0266341747661374,-1.43383907878381
0.0288,-0.0272102112982171,-1.44631035378231
0.0292,-0.0277912209245979,-1.45870810414598
0.0296,-0.0283771738705936,-1.47103177176496
0.03,-0.028968041668147,-1.4832808092168
0.0304,-0.0295637968037688,-1.49545467833657
0.0308,-0.0301644063968248,-1.5075528245409
0.0312,-0.0307698399535844,-1.51957470832142
0.0316,-0.031380066744392,-1.53151979459206
0.032,-0.0319950558036662,-1.54338755268899
0.0324,-0.0326147759299006,-1.55517745637065
0.0328,-0.0332391956856631,-1.56688898381775
0.0332,-0.0338682833975965,-1.57852161763327
0.0336,-0.0345020071564179,-1.59007484484245
0.034,-0.0351403360374626,-1.60154813995675
0.0344,-0.0357832412192837,-1.6129409494524
0.0348,-0.0364306873517605,-1.6242528115449
0.0352,-0.0370826418877708,-1.63548322670446
0.0356,-0.0377390720623969,-1.646631699572
0.036,-0.0383999448929255,-1.65769773895915
0.0364,-0.0390652271788474,-1.66868085784821
0.0368,-0.039734885501858,-1.67958057339221
0.0372,-0.0404088862258569,-1.69039640691488
0.0376,-0.0410871954969481,-1.70112788391063
0.038,-0.0417697799176411,-1.71177450828372
0.0384,-0.0424566086485035,-1.72233568204521
0.0388,-0.043147644717742,-1.73281103736924
0.0392,-0.0438428536499615,-1.74320010689277
0.0396,-0.0445422007668412,-1.75350242685529
0.04,-0.0452456511871344,-1.7637175370988
0.0404,-0.0459531698266689,-1.77384498106783
0.0408,-0.0466647213983467,-1.78388430580946
0.0412,-0.0473802704121443,-1.79383506197327
0.0416,-0.0480997811751123,-1.80369680381137
0.042,-0.0488232180082204,-1.81346907512819
0.0424,-0.0495505473005995,-1.82315127617788
0.0428,-0.0502817312342927,-1.83274307026277
0.0432,-0.0510167335412044,-1.84224401071765
0.0436,-0.0517555177752257,-1.85165365286565
0.044,-0.0524980473133547,-1.86097155394569
0.0444,-0.0532442853568156,-1.87019727303993
0.0448,-0.0539941949321784,-1.87933037100124
0.0452,-0.0547477388924787,-1.88837041038064
0.0456,-0.0555048799183371,-1.89731695535476
0.046,-0.056265580519636,-1.90616957078726
0.0464,-0.0570298030892982,-1.91492774028605
0.0468,-0.0577975097657418,-1.92359108171559
0.0472,-0.0585686625556641,-1.93215915797095
0.0476,-0.0593432232994256,-1.94063153246323
0.048,-0.0601211536721917,-1.94900776901339
0.0484,-0.0609024151850737,-1.95728743174602
0.0488,-0.0616869691862704,-1.96547008498308
0.0492,-0.0624747768622089,-1.9735552931377
0.0496,-0.0632657992386863,-1.98154262060796
0.05,-0.0640599971820109,-1.98943163167061
0.0504,-0.0648573299787966,-1.99722188681932
0.0508,-0.0656577588868576,-2.00491295153834
0.0512,-0.0664612442574154,-2.01250438899448
0.0516,-0.0672677461894738,-2.01999576156494
0.052,-0.0680772246141167,-2.02738663093912
0.0524,-0.0688896392950378,-2.0346765580109
0.0528,-0.069704949829069,-2.0418651027708
0.0532,-0.0705231156467101,-2.0489518241983
0.0536,-0.0713440960126574,-2.05593628015405
0.054,-0.0721678500263329,-2.0628180272721
0.0544,-0.0729943354128772,-2.06959663963271
0.0548,-0.0738235113954047,-2.0762716640651
0.0552,-0.0746553366315532,-2.08284265208722
0.0556,-0.0754897694329618,-2.08930915639841
0.056,-0.0763267679353279,-2.09567072813931
0.0564,-0.0771662900983574,-2.10192691679311
0.0568,-0.0780082937057155,-2.10807727008679
0.0572,-0.0788527363649769,-2.11412133389233
0.0576,-0.0796995755075767,-2.12005865212794
0.058,-0.0805487683887607,-2.12588876665924
0.0584,-0.0814002714766388,-2.1316112234762
0.0588,-0.0822540418118958,-2.13722555862573
0.0592,-0.0831100361999952,-2.14273130641077
0.0596,-0.083968211116842,-2.14812800026011
0.06,-0.0848285228543981,-2.15341517113321
0.0604,-0.0856909275203052,-2.15859234742481
0.0608,-0.0865553810375086,-2.16365905486949
0.0612,-0.0874218391438799,-2.1686148164463
0.0616,-0.0882902573918402,-2.17345915228327
0.062,-0.0891605911479838,-2.1781915795621
0.0624,-0.0900327951646569,-2.18281161787584
0.0628,-0.0909068244543339,-2.18731877798938
0.0632,-0.0917826339251831,-2.19171256638199
0.0636,-0.0926601781384001,-2.19599248823868
0.064,-0.0935394114615336,-2.20015804539663
0.0644,-0.0944202880678497,-2.20420873625307
0.0648,-0.0953027619356947,-2.20814405567318
0.0652,-0.0961867868478591,-2.21196349489799
0.0656,-0.0970723163909405,-2.21566654145228
0.066,-0.0979593039547079,-2.21925267905246
0.0664,-0.0988477022530099,-2.22272140648577
0.0668,-0.0997374641912337,-2.22607220309717
0.0672,-0.100628542742587,-2.22930453357757
0.0676,-0.101520890428936,-2.23241786843182
0.068,-0.102414459564551,-2.23541167419673
0.0684,-0.10330920225513,-2.23828541336215
0.0688,-0.104205070396836,-2.24103854429213
0.0692,-0.105102015675324,-2.24367052114596
0.0696,-0.10599998956477,-2.2461807937993
0.07,-0.106898943326904,-2.24856880776531
0.0704,-0.107798827600681,-2.25083403381456
0.0708,-0.10869959302237,-2.25297592283849
0.0712,-0.109601190434118,-2.25499389056882
0.0716,-0.110503570164637,-2.25688736961471
0.072,-0.111406682317787,-2.25865578837615
0.0724,-0.112310476771283,-2.2602985709892
0.0728,-0.113214903175388,-2.26181513727122
0.0732,-0.114119910951611,-2.26320490266613
0.0736,-0.115025449291407,-2.26446727818967
0.074,-0.11593146715487,-2.2656016703746
0.0744,-0.116837913068689,-2.26660751348495
0.0748,-0.11774473534893,-2.26748423344094
0.0752,-0.118651882410705,-2.26823119777566
0.0756,-0.119559302232945,-2.26884780140786
0.076,-0.120466942552303,-2.26933343520768
0.0764,-0.12137475086166,-2.26968748597321
0.0768,-0.122282674408629,-2.26990933640709
0.0772,-0.123190660194052,-2.26999836509299
0.0776,-0.124098654970511,-2.26995394647225
0.078,-0.125006605240825,-2.26977545082039
0.0784,-0.12591445725444,-2.26946227670824
0.0788,-0.126822157007089,-2.26901383325174
0.0792,-0.127729650245682,-2.26842944181736
0.0796,-0.128636882458471,-2.26770846422725
0.08,-0.129543798876403,-2.26685025889549
0.0804,-0.130450344471623,-2.26585418084345
0.0808,-0.131356463955971,-2.26471958171523
0.0812,-0.132262101779482,-2.26344580979296
0.0816,-0.13316720212889,-2.26203221001225
0.082,-0.134071708926126,-2.26047812397758
0.0824,-0.134975565947871,-2.25878292361553
0.0828,-0.135878716864192,-2.25694602234239
0.0832,-0.136781104596136,-2.25496669698781
0.0836,-0.137682672031687,-2.25284428717319
0.084,-0.138583361790717,-2.25057813043021
0.0844,-0.139483116223676,-2.24816756226803
0.0848,-0.140381877410275,-2.24561191624053
